Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/div_password""))",Chrome 101.0.4951.67,,,2022-05-18 10:59:09,2022-05-18 10:59:10,0.765s,PASSED
"setText(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/input_Password""), ""1234"")",Chrome 101.0.4951.67,,,2022-05-18 10:59:10,2022-05-18 10:59:10,0.906s,PASSED
"click(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/Button_Login""))",Chrome 101.0.4951.67,,,2022-05-18 10:59:11,2022-05-18 10:59:11,0.533s,PASSED
"verifyElementText(findTestObject(""bukalapak.com/Notifikasi_Login/p_Password yang kamu masukkan salah. Silakan coba lagi""), ""Password yang kamu masukkan salah. Silakan coba lagi."")",Chrome 101.0.4951.67,,,2022-05-18 10:59:11,2022-05-18 10:59:12,0.680s,PASSED
takeScreenshot(),Chrome 101.0.4951.67,,,2022-05-18 10:59:12,2022-05-18 10:59:12,0.593s,PASSED
,,,,,,,
Test Cases/bukalapak.com/Login_Password_NULL,Chrome 101.0.4951.67,,,2022-05-18 10:59:16,2022-05-18 10:59:42,25.194s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-18 10:59:16,2022-05-18 10:59:19,2.354s,PASSED
"navigateToUrl(""https://www.bukalapak.com/"")",Chrome 101.0.4951.67,,,2022-05-18 10:59:19,2022-05-18 10:59:33,14.298s,PASSED
maximizeWindow(),Chrome 101.0.4951.67,,,2022-05-18 10:59:33,2022-05-18 10:59:34,0.715s,PASSED
"click(findTestObject(""Object Repository/bukalapak.com/Menu_Login""))",Chrome 101.0.4951.67,,,2022-05-18 10:59:34,2022-05-18 10:59:36,2.604s,PASSED
"setText(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/input_Nomor handphone atau email""), ""find.project7@gmail.com"")",Chrome 101.0.4951.67,,,2022-05-18 10:59:36,2022-05-18 10:59:38,1.871s,PASSED
"click(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/Button_Lanjut""))",Chrome 101.0.4951.67,,,2022-05-18 10:59:38,2022-05-18 10:59:39,0.642s,PASSED
"click(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/div_password""))",Chrome 101.0.4951.67,,,2022-05-18 10:59:39,2022-05-18 10:59:40,0.719s,PASSED
"setText(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/input_Password""), """")",Chrome 101.0.4951.67,,,2022-05-18 10:59:40,2022-05-18 10:59:40,0.689s,PASSED
"click(findTestObject(""Object Repository/bukalapak.com/Page_Login ke Akun  Bukalapak/Button_Login""))",Chrome 101.0.4951.67,,,2022-05-18 10:59:40,2022-05-18 10:59:41,0.406s,PASSED
"verifyElementText(findTestObject(""bukalapak.com/Notifikasi_Login/p_Password wajib diisi, ya""), ""Password wajib diisi, ya."")",Chrome 101.0.4951.67,,,2022-05-18 10:59:41,2022-05-18 10:59:41,0.499s,PASSED
takeScreenshot(),Chrome 101.0.4951.67,,,2022-05-18 10:59:41,2022-05-18 10:59:42,0.378s,PASSED
